GeneID,CTRL1,CTRL2,SAMPLE1,SAMPLE2
ENSG00000160072,748,637,1070,893
ENSG00000279928,0,0,5,3
ENSG00000228037,0,8,0,3
ENSG00000142611,487,581,1160,1487
ENSG00000284616,2,0,0,0
ENSG00000157911,365,296,214,303
ENSG00000269896,134,67,72,147
ENSG00000228463,13,22,4,4
ENSG00000260972,0,0,0,0
ENSG00000224340,0,0,1,0
ENSG00000226374,0,0,0,0
ENSG00000229280,0,0,0,0
ENSG00000142655,446,410,456,481
ENSG00000232596,0,0,0,2
ENSG00000235054,0,0,0,0
ENSG00000231510,0,0,0,0
ENSG00000149527,337,243,77,441
ENSG00000284739,0,0,0,0
ENSG00000171621,154,120,335,197
ENSG00000272235,4,0,6,12
ENSG00000284694,0,0,0,0
ENSG00000224387,0,4,3,7
ENSG00000142583,2,2,2,3
ENSG00000284674,0,0,0,0
ENSG00000224338,2,0,0,0
ENSG00000116786,1536,1508,1838,1991
ENSG00000287727,15,1,12,7
ENSG00000286448,0,0,0,0
ENSG00000284703,0,0,0,1
ENSG00000226457,2,1,1,0
ENSG00000173614,293,298,412,348
ENSG00000215720,0,0,0,0
ENSG00000241326,0,0,0,0
ENSG00000233623,0,0,0,0
ENSG00000162592,5,15,16,19
ENSG00000204624,1650,1944,85,1980
ENSG00000142606,15,6,17,22
ENSG00000225931,0,0,0,1
ENSG00000171729,158,130,139,194
ENSG00000279457,123,151,56,126
ENSG00000229393,5,3,3,8
ENSG00000037637,1146,1264,1102,1423
ENSG00000287586,3,0,0,4
ENSG00000159423,655,384,733,531
ENSG00000227169,0,0,0,0
ENSG00000283356,0,0,0,0
ENSG00000011021,2441,2673,1363,2292
ENSG00000142615,0,8,4,3
ENSG00000215704,12,13,8,7
ENSG00000157916,1450,1218,2224,1930
ENSG00000157881,723,715,526,840
ENSG00000238290,2,2,0,18
ENSG00000225387,0,2,1,1
ENSG00000048707,2046,2022,1840,2694
ENSG00000225196,0,0,2,0
ENSG00000162444,5,2,8,11
ENSG00000279625,0,0,0,1
ENSG00000180758,126,82,245,160
ENSG00000184677,1673,1837,2104,1620
ENSG00000288398,168,128,208,175
ENSG00000224621,0,1,6,3
ENSG00000285833,3,1,0,0
ENSG00000131697,1702,1150,477,1083
ENSG00000284692,1,0,0,0
ENSG00000284745,0,0,2,1
ENSG00000280222,0,1,0,0
ENSG00000285945,0,0,0,0
ENSG00000197921,406,1308,1,258
ENSG00000233755,0,1,0,6
ENSG00000233929,1,5,3,1
ENSG00000271742,0,0,1,2
ENSG00000234166,0,0,0,0
ENSG00000235282,0,2,0,0
ENSG00000055070,1809,1571,1934,2029
ENSG00000175087,610,683,458,818
ENSG00000157191,903,713,1812,1069
